document_id,title,file_name,file_type,extension,category,data_role,is_content_document,is_manifest_file,is_system_file,is_archive_file,is_processable,relative_path,local_path,source_url,source_domain,language,file_size_bytes,checksum_sha256,is_public,access_note,ingested_at,ingestion_status,issues,page_count,text_sample_length
doc_3e861eb404e60a2b,"Toán, Toán ứng dụng và Tin học",hus.vnu.edu.vn__dao-tao__bac-dai-hoc__toan-co-tin-hoc.html,html,.html,dao_tao,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__dao-tao__bac-dai-hoc__toan-co-tin-hoc.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__dao-tao__bac-dai-hoc__toan-co-tin-hoc.html,https://hus.vnu.edu.vn/dao-tao/bac-dai-hoc/toan-co-tin-hoc,hus.vnu.edu.vn,vi,51285,2292b476401c13e076e2498aa68ec9d45ac0457ee12913755e88e377b4331661,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.620346+00:00,ok,[],0,1162
doc_662a4dbdb437d689,Bậc đại học,hus.vnu.edu.vn__dao-tao__bac-dai-hoc__vat-ly.html,html,.html,dao_tao,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__dao-tao__bac-dai-hoc__vat-ly.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__dao-tao__bac-dai-hoc__vat-ly.html,https://hus.vnu.edu.vn/dao-tao/bac-dai-hoc/vat-ly,hus.vnu.edu.vn,vi,213003,45962f74b45cb103bfc0eae3eba6a0bebca22ac512dbacbd3152ba222a67120f,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.650507+00:00,ok,[],0,38513
doc_a859d16bba3f04c0,Đào tạo,hus.vnu.edu.vn__dao-tao__dai-hoc.html,html,.html,dao_tao,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__dao-tao__dai-hoc.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__dao-tao__dai-hoc.html,https://hus.vnu.edu.vn/dao-tao/dai-hoc,hus.vnu.edu.vn,vi,52621,d4b735f5f739be8b0628152a5cce5f1d1d3d755fbc5e52e67cb8d87817564733,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.672796+00:00,ok,[],0,944
doc_e7e4d2a4052996b5,Giới thiệu chung,hus.vnu.edu.vn__dao-tao__gioi-thieu-chung.html,html,.html,dao_tao,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__dao-tao__gioi-thieu-chung.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__dao-tao__gioi-thieu-chung.html,https://hus.vnu.edu.vn/dao-tao/gioi-thieu-chung,hus.vnu.edu.vn,vi,69105,38b9ee6a8f3ffe929401ff338fefef3a38133fb98a1960c64319ee0ee3b5f3e1,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.688821+00:00,ok,[],0,4144
doc_b1bb0447d72d8813,olympicvnu-2025,hus.vnu.edu.vn__dao-tao__olympicvnu-2025.html,html,.html,dao_tao,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__dao-tao__olympicvnu-2025.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__dao-tao__olympicvnu-2025.html,https://hus.vnu.edu.vn/dao-tao/olympicvnu-2025,hus.vnu.edu.vn,vi,34740,203091e97bf10b08c86a1da9d05d6d95fcc61c83987c01f089e6ed11d37b56c3,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.701478+00:00,warning,['html_short_body'],0,27
doc_dbdc930c86ed090a,Sau đại học,hus.vnu.edu.vn__dao-tao__sau-dai-hoc.html,html,.html,dao_tao,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__dao-tao__sau-dai-hoc.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__dao-tao__sau-dai-hoc.html,https://hus.vnu.edu.vn/dao-tao/sau-dai-hoc,hus.vnu.edu.vn,vi,43537,beca1d95b33133bb6ba0d322f93852dc9dba42de47b055f5e01a7b9bb4316ff6,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.713663+00:00,warning,['html_short_body'],0,176
doc_096da4e0b0e266a8,Hóa học & Công nghệ,hus.vnu.edu.vn__dao-tao__sau-dai-hoc__hoa-hoc-va-cong-nghe.html,html,.html,dao_tao,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__dao-tao__sau-dai-hoc__hoa-hoc-va-cong-nghe.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__dao-tao__sau-dai-hoc__hoa-hoc-va-cong-nghe.html,https://hus.vnu.edu.vn/dao-tao/sau-dai-hoc/hoa-hoc-va-cong-nghe,hus.vnu.edu.vn,vi,39718,7c4fbe706696ea1e2de55c5e0436c8607aaa777e73c63f21ceadc1298f97cb55,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.727357+00:00,ok,[],0,693
doc_fc33363ceca58e9c,Khoa học Trái đất - Tài nguyên & Môi trường,hus.vnu.edu.vn__dao-tao__sau-dai-hoc__khoa-hoc-trai-dat-va-tai-nguyen-moi-truong.html,html,.html,nghien_cuu,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__dao-tao__sau-dai-hoc__khoa-hoc-trai-dat-va-tai-nguyen-moi-truong.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__dao-tao__sau-dai-hoc__khoa-hoc-trai-dat-va-tai-nguyen-moi-truong.html,https://hus.vnu.edu.vn/dao-tao/sau-dai-hoc/khoa-hoc-trai-dat-va-tai-nguyen-moi-truong,hus.vnu.edu.vn,vi,41521,18a46e752ddcd87955e12f21cdec0a83d662c6ae1bbd6d911182ca800487524c,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.741005+00:00,ok,[],0,1281
doc_2bfb8aa995978ad6,Sinh học & Công nghệ,hus.vnu.edu.vn__dao-tao__sau-dai-hoc__sinh-hoc-va-cong-nghe.html,html,.html,dao_tao,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__dao-tao__sau-dai-hoc__sinh-hoc-va-cong-nghe.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__dao-tao__sau-dai-hoc__sinh-hoc-va-cong-nghe.html,https://hus.vnu.edu.vn/dao-tao/sau-dai-hoc/sinh-hoc-va-cong-nghe,hus.vnu.edu.vn,vi,40858,792bf04d0bde5e59d42ca8df3417dbdcc288397255bfee18a0e13c2d5e780771,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.755637+00:00,ok,[],0,921
doc_e2f03fc4ccdcf6e5,Vật lý & Công nghệ,hus.vnu.edu.vn__dao-tao__sau-dai-hoc__vat-ly-va-cong-nghe.html,html,.html,dao_tao,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__dao-tao__sau-dai-hoc__vat-ly-va-cong-nghe.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__dao-tao__sau-dai-hoc__vat-ly-va-cong-nghe.html,https://hus.vnu.edu.vn/dao-tao/sau-dai-hoc/vat-ly-va-cong-nghe,hus.vnu.edu.vn,vi,39429,44ff5991351285a05e36e84b4d0ae789a7f37462c643f37c9ed0009898bae133,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.769500+00:00,ok,[],0,669
